"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Committee of Adjustment-27 May 2021.pdf","Committee of Adjustment","2580","6","0","65","54","125","0.1315990818668707","0.10888501742160278","0.12024204964423674"
"Committee of Adjustment-21 Mar 2019.pdf","Committee of Adjustment","5744","20","0","80","110","210","0.2929864830400408","0.18292682926829268","0.23795665615416675"
"Heritage Whitby Advisory Committee-08 Oct 2019.pdf","Heritage Whitby Advisory Committee","1468","21","0","39","40","100","0.07487885743432798","0.08710801393728224","0.08099343568580511"
"Heritage Whitby Advisory Committee-09 Jun 2020.pdf","Heritage Whitby Advisory Committee","1966","9","0","58","44","111","0.10028054067839837","0.09668989547038327","0.09848521807439081"
"Special Council-23 Nov 2015.pdf","Special Council","582","0","0","14","25","39","0.029686304514154552","0.03397212543554007","0.03182921497484731"
"Whitby Sustainability Advisory Committee-04 May 2022.pdf","Whitby Sustainability Advisory Committee","842","2","0","29","19","50","0.042948227492986484","0.04355400696864112","0.043251117230813804"
"Whitby Diversity and Inclusion Advisory Committee-05 Sep 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","795","2","0","27","18","47","0.04055087987758225","0.040940766550522645","0.04074582321405244"
"Special Council-31 Jan 2017.pdf","Special Council","1755","5","0","45","44","94","0.08951798010711554","0.08188153310104529","0.08569975660408041"
"Special Council-18 Feb 2016.pdf","Special Council","2418","5","1","56","47","109","0.12333588370313696","0.09494773519163763","0.1091418094473873"
"Special Council-13 Sep 2021.pdf","Special Council","2388","3","3","65","57","128","0.12180566182096404","0.11149825783972125","0.11665195983034266"
"Heritage Whitby Advisory Committee-10 Nov 2020.pdf","Heritage Whitby Advisory Committee","2775","9","0","89","61","159","0.14154552410099464","0.13850174216027875","0.1400236331306367"
"Special Council-21 Jan 2019.pdf","Special Council","786","1","0","26","22","49","0.04009181331293037","0.042682926829268296","0.041387370071099334"
"Regular Council-01 Jun 2015.pdf","Regular Council","7132","26","0","230","154","410","0.36378474878857436","0.35714285714285715","0.3604638029657158"
"Heritage Whitby Advisory Committee-12 Apr 2022.pdf","Heritage Whitby Advisory Committee","1922","10","0","77","46","133","0.09803621525121142","0.11585365853658537","0.10694493689389839"
"Heritage Whitby Advisory Committee-08 Feb 2022.pdf","Heritage Whitby Advisory Committee","1735","10","2","59","64","135","0.08849783218566692","0.11759581881533102","0.10304682550049897"
"Regular Council-30 Oct 2017.pdf","Regular Council","7814","21","1","239","142","403","0.39857179290997197","0.3510452961672474","0.3748085445386097"
"Committee of the Whole-08 Apr 2024.pdf","Committee of the Whole","5310","11","0","169","77","257","0.270849273144606","0.22386759581881532","0.24735843448171066"
"Special Council-26 May 2014.pdf","Special Council","491","1","0","18","21","40","0.025044631471563376","0.03484320557491289","0.029943918523238133"
"Special Council-21 Jul 2016.pdf","Special Council","1673","2","0","41","45","88","0.08533537362917623","0.07665505226480836","0.0809952129469923"
"Public Meetings-28 Jan 2019.pdf","Public Meetings","3779","32","0","63","68","163","0.19275694975771487","0.14198606271777003","0.16737150623774244"
"Active Transportation and Safe Roads Advisory Committee-10 Mar 2022.pdf","Active Transportation and Safe Roads Advisory Committee","2107","34","0","54","42","130","0.10747258352461107","0.1132404181184669","0.11035650082153899"
"Accessibility Advisory Committee-04 May 2021.pdf","Accessibility Advisory Committee","1312","9","0","50","31","90","0.06692170364702882","0.078397212543554","0.07265945809529141"
"Regular Council-29 Apr 2024.pdf","Regular Council","4809","15","0","171","80","266","0.24529456771231828","0.23170731707317074","0.2385009423927445"
"Public Meetings-19 Nov 2024.pdf","Public Meetings","1367","1","0","51","47","99","0.0697271104310125","0.08623693379790941","0.07798202211446095"
"Regular Council-27 Feb 2008.pdf","Regular Council","788","0","0","32","28","60","0.040193828105075234","0.05226480836236934","0.04622931823372228"
"Regular Council-19 May 2020.pdf","Regular Council","7960","21","4","229","171","425","0.4060188727365468","0.3702090592334495","0.38811396598499814"
"Regular Council-14 Feb 2011.pdf","Regular Council","657","0","0","24","27","51","0.03351185921958684","0.04442508710801394","0.03896847316380039"
"Active Transportation and Safe Roads Advisory Committee-10 Sep 2020.pdf","Active Transportation and Safe Roads Advisory Committee","1417","20","0","40","41","101","0.07227748023463403","0.08797909407665505","0.08012828715564455"
"Committee of Adjustment-26 Sep 2019.pdf","Committee of Adjustment","4266","15","0","82","82","179","0.21759755164498853","0.1559233449477352","0.18676044829636185"
"Joint BDDSC and DWDSC Meeting-25 Nov 2021.pdf","Joint BDDSC and DWDSC Meeting","1570","0","0","33","57","90","0.08008161183371588","0.078397212543554","0.07923941218863495"
"Special Council-04 Mar 2013.pdf","Special Council","683","5","0","18","20","43","0.034838051517470034","0.037456445993031356","0.036147248755250695"
"Special Council-22 Apr 2021.pdf","Special Council","4042","35","6","139","115","295","0.2061718949247641","0.2569686411149826","0.23157026801987335"
"Regular Council-08 Sep 2014.pdf","Regular Council","9789","63","1","312","162","538","0.49931140015302217","0.4686411149825784","0.48397625756780027"
"Accessibility Advisory Committee-05 Mar 2019.pdf","Accessibility Advisory Committee","1507","4","0","45","35","84","0.07686814588115276","0.07317073170731707","0.07501943879423492"
"Regular Council-18 Mar 2024.pdf","Regular Council","13251","46","1","452","221","720","0.6758990053557766","0.627177700348432","0.6515383528521044"
"Accessibility Advisory Committee-07 Dec 2021.pdf","Accessibility Advisory Committee","225","0","0","11","19","30","0.011476664116296864","0.02613240418118467","0.018804534148740767"
"Special Council-21 Sep 2015.pdf","Special Council","842","0","0","14","30","44","0.042948227492986484","0.03832752613240418","0.04063787681269533"
"Special Council-27 May 2013.pdf","Special Council","1021","8","0","33","30","71","0.052078551389951544","0.06184668989547038","0.05696262064271096"
"Special Council-20 Jan 2020.pdf","Special Council","1619","1","0","39","40","80","0.08258097424126498","0.06968641114982578","0.07613369269554537"
"Whitby Diversity and Inclusion Advisory Committee-07 Nov 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","1045","2","0","37","25","64","0.05330272889568988","0.05574912891986063","0.05452592890777525"
"Regular Council-04 Jun 2018.pdf","Regular Council","8497","47","1","257","158","463","0.43340984442744196","0.40331010452961674","0.41835997447852935"
"Special Council-13 Apr 2023.pdf","Special Council","577","1","0","9","23","33","0.0294312675337924","0.028745644599303136","0.029088456066547766"
"Public Meetings-08 Sep 2020.pdf","Public Meetings","2123","8","0","61","58","127","0.10828870186176996","0.11062717770034843","0.1094579397810592"
"Regular Council-07 Jun 2010.pdf","Regular Council","5919","31","0","199","105","335","0.30191277735271616","0.29181184668989546","0.2968623120213058"
"Special Council-03 Dec 2018.pdf","Special Council","782","5","0","28","52","85","0.03988778372864065","0.0740418118466899","0.05696479778766528"
"Regular Council-05 Oct 2009.pdf","Regular Council","480","3","0","6","31","40","0.02448355011476664","0.03484320557491289","0.029663377844839765"
"Special Council-19 Oct 2016.pdf","Special Council","540","0","0","5","20","25","0.02754399387911247","0.02177700348432056","0.024660498681716513"
"Special Council-27 Jan 2020.pdf","Special Council","735","2","0","14","29","45","0.03749043611323642","0.039198606271777","0.03834452119250671"
"Regular Council-24 Jun 2013.pdf","Regular Council","10754","46","3","317","218","584","0.5485335373629177","0.5087108013937283","0.528622169378323"
"Special Council-09 Oct 2024.pdf","Special Council","5335","15","3","146","135","299","0.2721244580464167","0.2604529616724739","0.2662887098594453"
"Committee of the Whole-09 May 2022.pdf","Committee of the Whole","5806","10","17","207","68","302","0.2961489415965315","0.26306620209059234","0.2796075718435619"
"Committee of the Whole-15 Jun 2020.pdf","Committee of the Whole","4000","5","0","106","54","165","0.204029584289722","0.1437282229965157","0.17387890364311887"
"Special Council-23 Jul 2018.pdf","Special Council","2851","3","0","66","59","128","0.14542208620249936","0.11149825783972125","0.12846017202111032"
"Regular Council-30 Jun 2014.pdf","Regular Council","13570","58","2","389","245","694","0.692170364702882","0.6045296167247387","0.6483499907138104"
"Committee of Adjustment-03 Mar 2022.pdf","Committee of Adjustment","2797","7","0","38","76","121","0.1426676868145881","0.10540069686411149","0.1240341918393498"
"Whitby Diversity and Inclusion Advisory Committee-03 Sep 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","1067","2","0","28","31","61","0.05442489160928335","0.05313588850174216","0.05378039005551276"
"Special Council-11 Mar 2013.pdf","Special Council","1037","1","0","28","49","78","0.05289466972711043","0.06794425087108014","0.060419460299095284"
"Whitby Diversity and Inclusion Advisory Committee-03 Mar 2022.pdf","Whitby Diversity and Inclusion Advisory Committee","1234","4","1","45","29","79","0.06294312675337924","0.06881533101045297","0.06587922888191611"
"Special Council-18 Jun 2012.pdf","Special Council","2258","8","0","71","56","135","0.11517470033154807","0.11759581881533102","0.11638525957343954"
"Special Council-21 Mar 2016.pdf","Special Council","917","1","0","22","26","49","0.04677378219841877","0.042682926829268296","0.044728354513843535"
"Committee of Adjustment-07 Nov 2019.pdf","Committee of Adjustment","2476","7","1","50","58","116","0.12629431267533792","0.10104529616724739","0.11366980442129265"
"Special Council-29 Oct 2012.pdf","Special Council","614","0","0","20","25","45","0.031318541188472326","0.039198606271777","0.035258573730124664"
"Committee of the Whole-24 Feb 2025.pdf","Committee of the Whole","3008","13","11","110","65","199","0.15343024738587094","0.17334494773519163","0.16338759756053128"
"Regular Council-08 Dec 2008.pdf","Regular Council","5621","15","0","196","83","294","0.2867125733231319","0.25609756097560976","0.27140506714937085"
"Whitby Sustainability Advisory Committee-06 Jan 2021.pdf","Whitby Sustainability Advisory Committee","2442","4","1","80","53","138","0.12456006120887529","0.12020905923344948","0.12238456022116238"
"Regular Council-31 Oct 2011.pdf","Regular Council","5445","29","1","196","110","336","0.2777352716143841","0.2926829268292683","0.2852090992218262"
"Committee of Adjustment-05 Jul 2018.pdf","Committee of Adjustment","3702","13","8","57","76","154","0.1888293802601377","0.13414634146341464","0.1614878608617762"
"Whitby Diversity and Inclusion Advisory Committee-07 Nov 2019.pdf","Whitby Diversity and Inclusion Advisory Committee","1179","3","0","39","33","75","0.06013771996939556","0.06533101045296168","0.06273436521117862"
"Heritage Whitby Advisory Committee-12 May 2020.pdf","Heritage Whitby Advisory Committee","921","4","1","37","34","76","0.04697781178270849","0.06620209059233449","0.05658995118752149"
"Special Council-15 Apr 2019.pdf","Special Council","480","1","0","13","29","43","0.02448355011476664","0.037456445993031356","0.030969998053899"
"Special Council-02 May 2016.pdf","Special Council","355","0","0","7","17","24","0.01810762560571283","0.020905923344947737","0.019506774475330283"
"Regular Council-21 Jun 2021.pdf","Regular Council","13640","50","13","407","217","687","0.6957408824279521","0.5984320557491289","0.6470864690885405"
"Whitby Sustainability Advisory Committee-05 Mar 2025.pdf","Whitby Sustainability Advisory Committee","1112","1","0","47","29","77","0.05672022443254272","0.06707317073170732","0.061896697582125015"
"Active Transportation and Safe Roads Advisory Committee-14 Nov 2024.pdf","Active Transportation and Safe Roads Advisory Committee","1006","2","0","36","27","65","0.051313440448865086","0.05662020905923345","0.053966824754049264"
"Special Council-10 Mar 2014.pdf","Special Council","441","2","0","17","21","40","0.022494261667941853","0.03484320557491289","0.02866873362142737"
"Regular Council-06 Jun 2016.pdf","Regular Council","8589","25","5","288","167","485","0.43810252486610557","0.42247386759581884","0.4302881962309622"
"Special Council-13 Mar 2020.pdf","Special Council","1973","2","0","41","52","95","0.10063759245090538","0.08275261324041812","0.09169510284566175"
"Committee of the Whole-07 Jun 2021.pdf","Committee of the Whole","7967","57","0","241","135","433","0.4063759245090538","0.37717770034843207","0.39177681242874296"
"Special Council-16 Jan 2023.pdf","Special Council","1117","1","0","30","34","65","0.05697526141290487","0.05662020905923345","0.05679773523606916"
"Regular Council-07 Oct 2013.pdf","Regular Council","8886","29","1","271","191","492","0.45325172149961745","0.42857142857142855","0.44091157503552303"
"Regular Council-13 Oct 2015.pdf","Regular Council","6465","21","0","208","124","353","0.3297628156082632","0.3074912891986063","0.31862705240343475"
"Committee of the Whole-08 Apr 2019.pdf","Committee of the Whole","7727","56","1","325","77","459","0.39413414945167047","0.3998257839721254","0.39697996671189795"
